city_id,area,pv
12,0,75534
12,1,68099
12,2,33800
12,3,20493
12,4,11518
12,5,8361
12,6,5569
12,7,3291
12,8,3127
12,9,1876
12,10,3342
12,11,1547
12,12,1336
12,13,1530
12,14,904
12,15,910
12,16,969
12,17,614
12,18,808
12,19,325
12,20,806
12,21,235
12,22,363
12,23,350
12,24,221
12,25,307
12,26,306
12,27,231
12,28,125
12,29,22
12,30,215
12,31,88
12,32,103
12,33,179
12,34,79
12,35,228
12,36,37
12,37,30
12,38,106
12,39,34
12,40,96
12,41,19
12,42,38
12,43,7
12,44,17
12,45,124
12,46,44
12,47,46
12,48,54
12,49,37
12,50,106
12,51,112
12,52,10
12,53,6
12,54,46
12,55,20
12,56,13
12,57,7
12,58,8
12,59,11
12,60,16
12,61,6
12,62,11
12,64,23
12,65,16
12,66,2
12,67,2
12,68,23
12,69,7
12,70,11
12,72,10
12,73,11
12,74,7
12,76,7
12,78,1
12,80,26
12,85,16
12,87,3
12,88,1
12,90,25
12,91,5
12,94,3
12,95,16
12,97,11
12,100,7
12,102,34
12,104,3
12,110,1
12,111,8
12,115,19
12,117,4
12,120,8
12,124,6
12,125,4
12,131,1
12,140,20
12,150,38
12,153,11
12,164,1
12,180,5
12,199,11
12,200,12
12,210,7
12,260,7
12,280,1
12,380,4
12,386,3
12,392,1
12,400,3
12,480,1
13,0,62256
13,1,40319
13,2,17307
13,3,11907
13,4,6489
13,5,4112
13,6,2466
13,7,1665
13,8,1699
13,9,883
13,10,1454
13,11,716
13,12,944
13,13,958
13,14,439
13,15,515
13,16,514
13,17,319
13,18,244
13,19,306
13,20,388
13,21,211
13,22,240
13,23,447
13,24,188
13,25,256
13,26,48
13,27,112
13,28,137
13,29,33
13,30,110
13,31,19
13,32,81
13,33,14
13,34,9
13,35,21
13,36,24
13,37,73
13,38,12
13,39,27
13,40,24
13,41,3
13,42,5
13,43,14
13,45,7
13,46,1
13,47,9
13,48,6
13,49,8
13,50,43
13,51,5
13,52,15
13,53,2
13,56,4
13,57,2
13,58,11
13,59,16
13,60,34
13,61,1
13,63,3
13,64,4
13,65,3
13,66,1
13,71,4
13,74,5
13,77,1
13,79,2
13,80,7
13,81,1
13,84,4
13,86,9
13,88,1
13,89,7
13,90,8
13,91,11
13,97,3
13,98,2
13,100,17
13,104,148
13,106,1
13,107,2
13,109,1
13,110,3
13,112,1
13,120,8
13,123,2
13,125,1
13,127,1
13,129,1
13,130,7
13,132,3
13,133,2
13,144,13
13,145,19
13,146,1
13,149,36
13,150,4
13,155,3
13,160,2
13,163,4
13,170,1
13,171,5
13,180,5
13,183,3
13,188,5
13,229,1
13,286,4
13,300,1
13,350,1
13,363,3
13,594,7
14,0,1664
14,1,3167
14,2,1892
14,3,1196
14,4,260
14,5,496
14,6,108
14,7,38
14,8,45
14,9,90
14,10,38
14,11,20
14,12,54
14,13,8
14,14,6
14,15,85
14,16,1
14,19,2
14,20,2
14,21,5
14,22,32
14,23,73
14,24,10
14,30,2
14,35,7
14,36,3
14,56,3
14,70,4
15,0,2127
15,1,5478
15,2,3351
15,3,2145
15,4,1003
15,5,890
15,6,278
15,7,385
15,8,236
15,9,165
15,10,321
15,11,240
15,12,126
15,13,65
15,14,63
15,15,76
15,16,31
15,17,6
15,18,24
15,19,84
15,20,142
15,21,19
15,22,17
15,27,1
15,28,1
15,29,2
15,30,1
15,31,6
15,37,14
15,40,30
15,52,2
15,93,3
15,271,1
16,0,12368
16,1,8601
16,2,4268
16,3,3233
16,4,2314
16,5,845
16,6,749
16,7,294
16,8,230
16,9,343
16,10,372
16,11,214
16,12,84
16,13,67
16,14,83
16,15,78
16,16,38
16,17,59
16,18,197
16,19,51
16,20,52
16,21,77
16,22,72
16,23,11
16,24,101
16,25,140
16,26,33
16,27,2
16,28,5
16,29,28
16,30,11
16,31,8
16,32,9
16,39,14
16,40,6
16,43,11
16,56,2
16,60,12
16,100,7
17,0,26219
17,1,20797
17,2,9654
17,3,5358
17,4,2937
17,5,1919
17,6,1361
17,7,837
17,8,560
17,9,376
17,10,468
17,11,467
17,12,328
17,13,210
17,14,199
17,15,165
17,16,149
17,17,121
17,18,232
17,19,107
17,20,152
17,21,65
17,22,63
17,23,35
17,24,54
17,25,45
17,26,55
17,27,21
17,28,35
17,29,18
17,30,118
17,31,10
17,32,36
17,33,19
17,34,8
17,35,5
17,36,4
17,37,1
17,38,16
17,40,13
17,43,3
17,45,4
17,47,4
17,49,21
17,50,8
17,52,4
17,53,1
17,54,1
17,57,2
17,80,32
17,90,1
17,92,3
17,100,10
17,110,2
17,132,3
17,180,3
17,260,3
17,1000,4
17,3000,1
26,0,6946
26,1,10359
26,2,5788
26,3,3901
26,4,1972
26,5,1147
26,6,832
26,7,534
26,8,193
26,9,229
26,10,495
26,11,226
26,12,276
26,13,189
26,14,76
26,15,263
26,16,124
26,17,36
26,18,31
26,19,13
26,20,88
26,21,8
26,22,1
26,23,19
26,24,27
26,25,48
26,26,8
26,27,7
26,29,7
26,30,15
26,32,1
26,33,2
26,34,5
26,35,5
26,36,2
26,37,2
26,38,2
26,39,4
26,40,2
26,41,3
26,42,15
26,43,1
26,45,6
26,46,9
26,47,5
26,48,17
26,50,6
26,52,1
26,98,3
29,0,10
45,0,7680
45,1,11201
45,2,7393
45,3,3145
45,4,2517
45,5,1063
45,6,987
45,7,264
45,8,443
45,9,266
45,10,302
45,11,95
45,12,218
45,13,209
45,14,173
45,15,130
45,16,81
45,17,219
45,18,11
45,19,120
45,20,111
45,21,25
45,22,6
45,23,32
45,24,19
45,25,2
45,29,4
45,30,14
45,33,3
45,36,3
45,40,14
45,45,5
45,69,5
45,73,6
45,157,9
55,0,196
55,1,376
55,2,171
55,3,87
55,4,40
55,5,26
55,6,32
55,7,4
55,10,2
55,11,4
55,14,2
55,15,4
55,17,7
55,20,103
55,22,3
55,23,4
55,38,2
55,271,1
56,0,520
56,1,1656
56,2,1259
56,3,548
56,4,250
56,5,149
56,6,115
56,7,146
56,8,5
56,9,8
56,10,26
56,11,14
56,12,71
56,13,22
56,14,14
56,15,10
56,16,31
56,17,31
56,18,9
56,19,11
56,20,46
56,21,1
56,35,2
56,60,1
56,100,5
56,150,6
65,0,4569
65,1,5340
65,2,2696
65,3,1153
65,4,622
65,5,465
65,6,304
65,7,184
65,8,163
65,9,123
65,10,140
65,11,90
65,12,136
65,13,53
65,14,31
65,15,61
65,16,21
65,17,57
65,18,11
65,19,24
65,20,73
65,21,10
65,22,3
65,23,9
65,24,11
65,25,16
65,26,6
65,29,2
65,30,38
65,33,1
65,35,4
65,38,4
65,40,4
65,43,1
65,45,1
65,49,3
65,50,15
65,53,1
65,54,2
65,55,2
65,56,4
65,58,3
65,59,1
65,60,8
65,64,2
65,65,1
65,68,1
65,69,1
65,70,6
65,76,3
65,77,4
65,80,1
65,82,3
65,95,1
65,104,1
65,106,2
65,108,2
65,110,1
65,147,1
66,0,476
66,1,429
66,2,262
66,3,92
66,4,21
66,5,28
66,6,9
66,7,3
66,8,3
66,9,1
66,10,6
66,11,1
66,12,5
66,13,3
66,15,3
66,20,1
66,25,1
66,50,1
67,1,5
75,0,676
75,1,1232
75,2,713
75,3,334
75,4,64
75,5,63
75,6,31
75,7,15
75,8,16
75,9,13
75,10,15
75,11,8
75,12,24
75,13,15
75,14,4
75,15,2
75,16,5
75,17,3
75,19,6
75,20,22
75,21,2
75,22,8
75,25,1
75,27,6
75,28,5
75,35,1
75,36,3
75,40,5
103,0,632
103,1,1629
103,2,778
103,3,279
103,4,193
103,5,53
103,6,94
103,7,9
103,8,13
103,9,21
103,10,18
103,11,124
103,12,7
103,13,5
103,14,11
103,15,4
103,16,38
103,17,10
103,20,12
103,21,2
103,30,25
103,300,2
176,0,1718
176,1,3404
176,2,4555
176,3,3811
176,4,1132
176,5,934
176,6,481
176,7,274
176,8,444
176,9,85
176,10,201
176,11,53
176,12,277
176,13,14
176,14,80
176,15,119
176,16,43
176,17,20
176,18,28
176,19,5
176,20,100
176,21,23
176,22,6
176,23,5
176,24,22
176,33,1
176,34,3
176,37,2
176,39,2
176,40,13
176,49,10
176,50,19
176,52,3
176,60,13
176,69,5
176,70,13
176,82,2
176,85,3
176,87,1
176,90,2
176,92,1
176,97,1
176,100,2
176,200,1
176,400,2
176,800,3
194,0,2727
194,1,7902
194,2,6747
194,3,4964
194,4,1287
194,5,1342
194,6,1212
194,7,294
194,8,192
194,9,125
194,10,63
194,11,81
194,12,366
194,13,132
194,14,28
194,15,167
194,16,30
194,17,47
194,18,7
194,19,19
194,20,169
194,21,6
194,22,19
194,24,2
194,26,7
194,33,8
194,40,26
194,56,4
204,0,709
204,1,1102
204,2,704
204,3,266
204,4,88
204,5,90
204,6,92
204,7,22
204,8,14
204,9,29
204,10,15
204,11,11
204,12,4
204,13,5
204,14,3
204,15,14
204,16,13
204,17,10
204,18,12
204,19,12
204,20,1
204,21,1
204,22,4
204,23,1
204,24,2
204,25,1
204,360,1
